Ign,Headshots,Damage,Acs,Matches,Kills,Deaths,Assists,Kd,Team,Multikills
iNTRO,355,67196,236,22,396,294,107,1.35,DAMWON Gaming,107
T3xture,294,72693,266,22,433,325,94,1.33,DAMWON Gaming,121
Eugene,273,57691,194,22,315,300,145,1.05,DAMWON Gaming,69
Hate,269,50706,233,18,295,211,77,1.4,TNL Esports,78
k1Ng,253,44560,232,16,250,162,49,1.54,Vision Strikers,53
Esperanza,252,57250,223,19,324,235,106,1.38,F4Q,84
zunba,251,54823,224,19,321,246,130,1.3,F4Q,92
Suggest,241,47046,225,16,268,199,54,1.35,NUTURN Gaming,68
MaKo,234,46791,226,18,271,172,115,1.58,Vision Strikers,69
Exy,234,50353,221,18,284,223,76,1.27,TNL Esports,69
solo,224,47413,221,16,260,220,78,1.18,NUTURN Gaming,66
stax,220,42477,201,18,252,170,101,1.48,Vision Strikers,68
Efina,220,47107,179,19,248,226,83,1.1,F4Q,52
FiveK,218,60384,237,19,332,254,79,1.31,F4Q,95
Secret,214,58618,188,22,283,299,119,0.95,DAMWON Gaming,65
Bunny,210,58138,237,19,315,230,116,1.37,F4Q,83
Jeong Hi,208,52683,179,22,296,282,179,1.05,DAMWON Gaming,68
10X,195,41716,193,16,215,213,98,1.01,NUTURN Gaming,46
BuZz,188,48842,250,18,287,208,74,1.38,Vision Strikers,70
Meteor,187,51799,246,18,296,241,87,1.23,TNL Esports,79
TS,186,44891,205,18,261,205,164,1.27,TNL Esports,63
allow,172,51983,261,16,305,221,60,1.38,NUTURN Gaming,83
eKo,168,44455,204,18,258,200,128,1.29,TNL Esports,65
Rb,150,34128,218,14,200,134,72,1.49,Vision Strikers,55
peri,147,40200,178,16,218,169,113,1.29,NUTURN Gaming,50
Lakia,79,16496,224,6,91,62,29,1.47,Vision Strikers,20
